P_H,t_ads,alpha,v_0,beta,P_L,t_depres,t_pres,Obj1,Obj2,Pu,Rec
672585.0,247,0.336843,0.332371,0.770144,92090,29,36,0.00182841,0.00917914,0.9572400888681933,0.9041921715098395
828944.0,410,0.521651,0.271083,0.985714,103005,36,39,0.00853733,0.000890996,0.9076023268691251,0.9701504438893976
891205.0,410,0.649166,0.271083,0.985714,103994,36,43,0.00895103,0.000987991,0.9053901167953369,0.9685676758733943
583492.0,343,0.503426,0.541294,0.970585,157999,13,39,0.00935489,0.000808084,0.9032793196880833,0.9715731816764521
771693.0,460,0.312598,0.362334,0.891248,145453,48,24,0.00843714,0.00224042,0.9081460942583278,0.9526669248833335
414743.0,230,0.129534,0.259756,0.803652,88250,45,16,0.00326682,0.00781825,0.9428438979635595,0.9115791314224974
897140.0,114,0.336843,0.593078,0.770144,92090,25,36,0.00215519,0.00973993,0.9535759760468785,0.9013089163095267
674462.0,453,0.0952692,0.423038,0.377054,122185,48,30,0.00649173,0.00523839,0.919428727203798,0.9276232772225765
674462.0,453,0.0952692,0.423038,0.377054,84314,48,30,0.00552896,0.00535356,0.9256430231921712,0.9268319741963745
583492.0,347,0.503426,0.541294,0.970585,117060,39,33,0.00908287,0.000938697,0.9046959077478831,0.9693618375224623
812568.0,161,0.399982,0.501283,0.841328,142998,38,12,0.00544392,0.00708284,0.9262170751460747,0.9158403897347427
674462.0,453,0.095786,0.423038,0.377054,107922,25,25,0.00615599,0.00531734,0.9215398827428865,0.9270799067471798
501048.0,435,0.0805396,0.62409,0.0571578,55170,49,47,0.00516741,0.00795033,0.9281153006544508,0.9108353769704598
511954.0,460,0.661038,0.394669,0.937158,164348,43,11,0.00921205,0.00324747,0.9040205751215398,0.9430134226330446
221013.0,230,0.129534,0.259756,0.803652,77601,45,17,0.00495647,0.00922563,0.9295977983298818,0.9039498568454997
674462.0,453,0.0952692,0.423038,0.377054,104768,48,30,0.00605761,0.00550614,0.9221693505102264,0.9257966308042552
225140.0,244,0.0315808,0.240195,0.290248,176479,32,28,0.00941133,0.00221791,0.9029879904341735,0.95290530815474
501048.0,500,0.0805396,0.62409,0.109575,55170,46,47,0.00561508,0.0068748,0.925066162516524,0.9170855862952647
813131.0,478,0.347146,0.762361,0.85138,152668,19,35,0.00933169,0.00333497,0.9033993271244967,0.942250800871354
721627.0,232,0.0958512,0.583144,0.178444,122176,23,26,0.00576869,0.00968344,0.9240481073310217,0.9015955285568791
791146.0,123,0.0437013,0.52969,0.178444,119022,46,27,0.00641844,0.00718075,0.9198848328966356,0.9152606938900253
919486.0,208,0.342686,0.721469,0.787589,121928,20,29,0.0077115,0.00742306,0.9121848532427349,0.9138428180590846
674462.0,453,0.0952692,0.355024,0.226069,152623,22,36,0.00680781,0.00798901,0.9174905459962315,0.9106187379816105
905496.0,116,0.523587,0.732794,0.849088,189073,16,26,0.00761872,0.00996903,0.9127147205996338,0.9001549700786263
723414.0,478,0.347146,0.762361,0.744064,184039,19,35,0.00901896,0.00897447,0.9050317947942575,0.9052663206668293
315227.0,293,0.930794,0.335299,0.915711,174094,19,21,0.00790844,0.00963131,0.911070589791678,0.9018607621794422
791146.0,200,0.0958512,0.578554,0.178444,122176,23,27,0.00547807,0.0102269,0.9259860148350327,0.8988718634602615
460078.0,239,0.105534,0.208347,0.711955,117430,40,45,0.00504194,0.0103487,0.9289933805902576,0.8982714396051925
893881.0,469,0.407642,0.139283,0.791355,185321,32,44,0.00456159,0.0109214,0.9324604560275982,0.8954944977525107
893881.0,452,0.407642,0.139283,0.791355,185321,32,44,0.00429505,0.0109665,0.9344633690215922,0.8952789419457576
411929.0,307,0.414393,0.482886,0.760217,50530,34,32,0.00250416,0.0135148,0.9499584172912167,0.8837468280002648
791146.0,200,0.0958512,0.34674,0.178444,122176,20,27,0.00459532,0.0140531,0.9322112103663149,0.8814542282491695
745285.0,301,0.407642,0.139283,0.791355,185321,32,44,0.00154421,0.0140865,0.9607035625024354,0.8813134379973875
414570.0,400,0.213357,0.792282,0.440782,49817,47,14,0.00466726,0.0165175,0.9316826522763069,0.8714795736079279
414570.0,395,0.213357,0.792282,0.440782,49817,47,14,0.00460906,0.0165446,0.9321099418176712,0.8713741861055877
414570.0,395,0.213357,0.792282,0.440782,49817,47,14,0.00460906,0.0165446,0.9321099418176712,0.8713741861055877
812568.0,161,0.528545,0.501283,0.792803,172727,38,12,0.00609573,0.0170462,0.9219248439002521,0.8694389031908816
241296.0,441,0.332247,0.482268,0.615784,183036,27,21,0.00830822,0.0175063,0.9088505622617451,0.8676886248276438
330418.0,329,0.345775,0.305116,0.674341,90754,45,28,0.00114389,0.0182501,0.9661785570976045,0.864907069022839
774982.0,466,0.495531,0.521895,0.744517,158336,33,36,0.00852966,0.0183412,0.9076438415697144,0.8645703134464234
927312.0,444,0.638847,0.599009,0.797485,88104,23,48,0.0086974,0.0187094,0.9067401479735251,0.8632176912024073
773503.0,94,0.181462,0.285051,0.977478,64438,47,35,3.10828e-07,0.0187888,0.9994424804936148,0.8629277562742916
674462.0,59,0.0952692,0.423038,0.912313,120009,48,26,0.00305261,0.0188291,0.9447495701374189,0.862780832242722
243229.0,144,0.656179,0.519147,0.806099,172727,38,10,0.00599153,0.0207569,0.9225950259996167,0.8559274488321943
906399.0,199,0.758038,0.262208,0.84579,100510,36,20,0.00407354,0.0223474,0.9361757099530281,0.8505095320764564
728048.0,415,0.160938,0.600593,0.120553,175660,32,36,0.00733277,0.0223649,0.9143684053634408,0.8504510113708554
765686.0,127,0.758038,0.262208,0.84579,176222,25,16,0.00108059,0.0225288,0.9671276712111844,0.8499040307003549
875646.0,290,0.740714,0.534752,0.815252,124962,39,48,0.00844842,0.0226345,0.9080847129145537,0.8495523346807934
771693.0,500,0.309678,0.406124,0.541456,68114,48,29,0.00565557,0.0232271,0.9247964761463933,0.8475956037379498
241296.0,441,0.332247,0.559649,0.549303,183036,27,27,0.00836082,0.0235647,0.9085624803486009,0.8464920197514149
772062.0,270,0.740714,0.497207,0.815252,127303,33,38,0.00814534,0.0237083,0.9097484626169725,0.8460250020295502
874829.0,161,0.66644,0.612748,0.792803,172727,38,16,0.0077506,0.0250156,0.9119625079866538,0.8418367931534012
758843.0,411,0.309389,0.584278,0.51488,101420,38,30,0.00673381,0.0251854,0.917940204728503,0.8413009136762282
828561.0,411,0.309389,0.584278,0.51488,78399,38,30,0.00657956,0.0252453,0.9188855130078479,0.8411123038117803
871238.0,379,0.309389,0.584218,0.51488,95860,40,30,0.00671912,0.0252863,0.918029761498456,0.8409833342067567
773503.0,94,0.181462,0.285051,0.98656,26927,43,25,6.95044e-18,0.0281437,0.9999999973636313,0.8322391583235229
773503.0,94,0.181462,0.285051,0.977478,26927,44,25,6.7753200000000015e-18,0.0286414,0.9999999973970555,0.8307622973448292
812887.0,86,0.20598,0.340666,0.539358,182910,25,43,0.00306361,0.0295581,0.944650112917911,0.8280753071836393
750161.0,388,0.309389,0.20396,0.51488,90875,41,30,0.000981811,0.0298258,0.9686661365293074,0.8272985234573833
865783.0,408,0.479911,0.614767,0.654571,168865,33,12,0.00826906,0.0300671,0.9090656280606723,0.8266013264179913
610392.0,471,0.458955,0.713082,0.638104,56497,14,41,0.00731515,0.0302117,0.9144713498294285,0.8261848683226918
